frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,6.090951e-02,-3.873539e+01,-1.918676e+01,3.022262e+00,-2.608071e+01,-2.396000e+01,-1.293874e+01,8.026596e+00,7.917561e+00,-7.435156e+00,4.697073e+00,-1.243420e+00,8.803199e+00,-9.364758e+00,1.478112e+00,-8.980262e+00,-7.050732e+00,-4.296924e+00,-3.617554e+00,-4.460209e+00,-5.490694e+00,-4.135371e+00,-3.414967e+00,-2.241333e+00,3.972010e-01,5.270501e-01,7.874178e-01,1.163173e+00,1.497770e+00,1.596204e+00,1.787077e+00,2.615766e+00,0,2.093825e-01,1.283053e-02,7.271560e-01,-2.349770e-01,2.656555e-01,7.642056e-01,2.096747e+00,8.952976e-01,-1.252937e+00,-6.383022e-01,-7.450950e-01,-2.507679e-01,-1.317454e+00,-4.865115e-01,4.169369e-01,7.583473e-01,3.727434e-01,1.662230e-01,-5.382175e-02,-4.323602e-03,5.575929e-02,1.730975e-01,7.897482e-02,8.426897e-02,1.715202e-01,-1.708961e-03,4.933715e-04,5.672389e-03,-6.994366e-04,-1.379899e-02,1.882911e-04,-1.025871e-02,-2.103090e-02,0,9.899895e-02,0,0,0,0,0,0,0,0
1,0.010000,8.129069e-02,-3.731643e+01,-1.902367e+01,4.492553e+00,-2.511979e+01,-1.996197e+01,-1.084841e+01,4.632705e+00,6.469970e+00,-9.131633e+00,5.499655e+00,-3.053568e+00,7.805183e+00,-1.014931e+01,-1.884350e-01,-9.772926e+00,-6.662995e+00,-4.234407e+00,-3.675049e+00,-4.325657e+00,-5.221917e+00,-4.096046e+00,-3.336477e+00,-1.887908e+00,3.784603e-01,5.173764e-01,7.774444e-01,1.141235e+00,1.446300e+00,1.591358e+00,1.741118e+00,2.541036e+00,0,4.103417e-01,2.187588e-02,1.129320e+00,-8.353370e-01,-2.701852e-01,6.612682e-01,2.526227e+00,4.519529e-01,-1.364676e+00,-7.634857e-01,-1.123766e+00,-8.716910e-01,-2.530503e+00,9.736562e-02,1.128977e+00,1.486422e+00,9.794464e-01,1.654319e-01,-9.749307e-02,5.257087e-02,9.530745e-02,2.959808e-01,1.748748e-01,1.672361e-01,2.744358e-01,3.678453e-03,3.049755e-03,2.036547e-02,3.956890e-03,-1.245222e-02,4.318690e-03,9.077382e-03,-1.549880e-02,0,1.155900e-01,0,0,0,0,0,0,0,0
2,0.020000,1.148715e-01,-3.580909e+01,-2.044319e+01,3.615394e+00,-2.274014e+01,-1.547527e+01,-9.507407e+00,3.458858e+00,5.449845e+00,-1.031239e+01,3.041942e+00,-6.925613e+00,6.869649e+00,-6.887796e+00,6.103122e+00,-6.720212e+00,-6.413486e+00,-4.597291e+00,-3.610424e+00,-4.248689e+00,-4.759594e+00,-3.760159e+00,-3.032867e+00,-1.560445e+00,3.980265e-01,5.343538e-01,8.207665e-01,1.170644e+00,1.454511e+00,1.599568e+00,1.758764e+00,2.547977e+00,0,6.038978e-01,2.219648e-02,1.244218e+00,-1.482624e+00,-9.335135e-01,5.410490e-01,2.743721e+00,-7.079954e-02,-4.039820e-01,-3.548891e-01,-1.563386e+00,-1.124830e+00,-2.603591e+00,7.815481e-01,1.019493e+00,1.841877e+00,1.601177e+00,8.732309e-02,-1.717029e-01,7.198291e-02,1.372704e-01,3.578083e-01,2.729397e-01,2.147469e-01,3.221164e-01,1.642747e-02,1.374630e-02,3.373919e-02,1.226556e-02,-2.140641e-04,5.866456e-03,2.602932e-02,-3.626347e-05,0,9.331328e-02,0,0,0,0,0,0,0,0
3,0.030000,1.433079e-01,-3.455194e+01,-2.273523e+01,1.374770e+00,-2.444465e+01,-1.557123e+01,-1.239463e+01,3.487083e+00,5.333990e+00,-1.161537e+01,1.166183e+00,-1.105484e+01,1.025680e+01,-4.958353e+00,6.597717e+00,-5.213054e+00,-6.542196e+00,-4.634206e+00,-3.358264e+00,-4.089432e+00,-4.376339e+00,-3.448603e+00,-2.769836e+00,-1.209598e+00,4.151805e-01,5.386470e-01,8.725708e-01,1.179221e+00,1.457139e+00,1.616115e+00,1.846621e+00,2.572167e+00,0,5.900750e-01,6.130671e-03,1.053820e+00,-1.678116e+00,-8.768452e-01,3.736973e-01,1.920040e+00,-1.056625e+00,3.806524e-02,3.306217e-01,-1.313700e+00,-1.173414e+00,-1.737021e+00,1.673722e+00,2.084442e-01,6.886144e-01,1.548774e+00,1.217804e-02,-1.355064e-01,3.506048e-02,1.022145e-01,3.234827e-01,2.792944e-01,2.075125e-01,3.006561e-01,1.876708e-02,1.650951e-02,3.527009e-02,1.517277e-02,-3.645897e-04,6.121552e-03,2.259992e-02,2.874374e-03,0,3.369145e-02,0,0,0,0,0,0,0,0
4,0.040000,1.408833e-01,-3.389654e+01,-2.474410e+01,-8.641386e-02,-2.371303e+01,-1.243677e+01,-1.251962e+01,6.579497e+00,6.711105e+00,-1.401022e+01,1.239658e+00,-1.026074e+01,1.148513e+01,-6.862773e+00,7.294422e+00,-3.254311e+00,-6.674516e+00,-4.955539e+00,-3.416032e+00,-3.891970e+00,-4.124441e+00,-3.094394e+00,-2.624553e+00,-9.699058e-01,4.609782e-01,5.851462e-01,9.085506e-01,1.205507e+00,1.491280e+00,1.613157e+00,1.864472e+00,2.600019e+00,0,5.860822e-01,-9.574302e-03,8.971604e-01,-1.076355e+00,3.598393e-02,4.805363e-01,1.479925e+00,-7.819034e-01,-2.410491e-01,1.066563e+00,1.406513e-01,-1.039607e-01,2.039263e-01,1.977944e+00,-6.196162e-01,-7.101322e-01,1.372429e+00,2.886562e-02,-3.058004e-03,-2.380688e-02,6.180189e-02,2.436251e-01,1.862451e-01,1.517415e-01,2.411138e-01,6.453174e-03,1.260538e-02,1.408952e-02,5.083716e-03,-2.016904e-02,-2.934194e-03,-1.946428e-02,-2.624941e-02,0,-4.258699e-02,0,0,0,0,0,0,0,0
5,0.050000,9.893816e-02,-3.300360e+01,-2.526379e+01,1.959231e+00,-2.276485e+01,-1.188103e+01,-1.462543e+01,3.262712e+00,7.492448e+00,-1.385122e+01,5.337253e-01,-1.007111e+01,1.386605e+01,-9.119605e+00,2.658987e+00,-3.762008e+00,-6.471590e+00,-4.732815e+00,-3.596943e+00,-3.992944e+00,-3.922080e+00,-3.032457e+00,-2.503072e+00,-6.798967e-01,4.408198e-01,5.745277e-01,9.099028e-01,1.199667e+00,1.426092e+00,1.615171e+00,1.801263e+00,2.529386e+00,0,5.877067e-01,-2.208822e-02,7.858707e-01,-2.129911e-01,1.296067e+00,9.446585e-01,8.084005e-01,-5.646788e-01,-7.755560e-01,1.758862e+00,1.389463e+00,-2.821627e-01,1.232243e+00,1.472917e+00,-7.113545e-01,-2.557759e-02,1.844886e+00,1.364634e-01,1.005412e-01,-1.904516e-02,-4.146300e-02,1.661387e-01,8.984236e-02,1.116642e-01,1.699399e-01,-9.068119e-03,5.786717e-04,-3.962415e-03,5.209350e-03,-3.303080e-02,-8.198786e-03,-3.920486e-02,-3.594797e-02,0,-9.837241e-02,0,0,0,0,0,0,0,0
6,0.060000,8.918488e-02,-3.209745e+01,-2.456068e+01,3.503083e+00,-2.117735e+01,-9.920749e+00,-1.230153e+01,2.365799e+00,9.703430e+00,-8.491208e+00,2.838367e+00,-6.397846e+00,1.495475e+01,-7.905251e+00,4.521826e+00,-5.835900e-01,-6.304461e+00,-4.563277e+00,-3.610119e+00,-3.987924e+00,-3.768599e+00,-3.037007e+00,-2.407542e+00,-6.197266e-01,4.174727e-01,5.794404e-01,8.725481e-01,1.185840e+00,1.369189e+00,1.585369e+00,1.684121e+00,2.438120e+00,0,3.921469e-01,-1.054249e-02,5.905134e-01,3.305164e-01,1.928221e+00,6.193720e-01,-4.909922e-01,-6.400825e-01,-1.040183e-01,2.574100e+00,2.035711e+00,-7.885882e-01,9.716700e-01,1.078595e+00,1.032436e-01,2.207083e-01,2.561369e+00,1.585469e-01,1.682185e-01,8.279729e-02,-1.079976e-01,7.440078e-02,8.964849e-03,6.742487e-02,1.039295e-01,-1.628563e-02,-1.368557e-02,-6.616807e-03,6.243694e-03,-2.621417e-02,-6.740034e-03,-1.750103e-02,-1.732154e-02,0,-1.183045e-01,0,0,0,0,0,0,0,0
7,0.070000,5.871600e-02,-3.152213e+01,-2.389189e+01,6.060356e+00,-2.098919e+01,-1.278723e+01,-1.532708e+01,1.716152e+00,1.263214e+01,-7.427559e+00,-1.043985e+00,-6.825069e+00,1.588658e+01,-7.993886e+00,7.856127e+00,2.676015e+00,-6.044907e+00,-4.327631e+00,-3.356446e+00,-4.248770e+00,-3.723567e+00,-3.028085e+00,-2.320021e+00,-5.349884e-01,3.915927e-01,5.443933e-01,8.707600e-01,1.215101e+00,1.353031e+00,1.589015e+00,1.740772e+00,2.473377e+00,0,1.951806e-01,9.663620e-03,1.056955e-01,6.681549e-01,1.853047e+00,2.641909e-01,-1.209057e+00,7.804127e-02,1.914560e+00,2.268913e+00,9.467806e-01,-1.101182e+00,1.289439e+00,5.972662e-01,6.666974e-01,3.747165e-01,2.104395e+00,9.938016e-02,1.005511e-01,1.369734e-01,-8.334257e-02,-8.339979e-02,-4.808097e-02,3.817940e-03,-1.174341e-02,-1.175011e-02,-1.477817e-02,-1.198614e-02,9.705293e-03,2.039277e-03,2.702713e-04,1.679420e-02,2.316082e-02,0,-9.950919e-02,0,0,0,0,0,0,0,0
8,0.080000,1.082819e-01,-3.168471e+01,-2.377747e+01,7.504131e+00,-2.150400e+01,-1.443863e+01,-1.536921e+01,6.832685e+00,1.701176e+01,-7.043497e+00,-1.914427e+00,-7.025411e+00,1.586784e+01,-6.909415e+00,5.799393e+00,6.333524e+00,-6.095123e+00,-4.317039e+00,-3.122293e+00,-4.304045e+00,-3.851693e+00,-3.051756e+00,-2.378954e+00,-5.227125e-01,4.041637e-01,5.317856e-01,8.950379e-01,1.229008e+00,1.396740e+00,1.592535e+00,1.807212e+00,2.541416e+00,0,1.908228e-01,2.477835e-02,-5.852526e-01,1.138256e+00,1.292476e+00,4.629086e-01,-1.459525e+00,1.797533e+00,2.267193e+00,7.151116e-01,1.678567e-01,-1.047350e+00,1.262898e+00,6.397667e-02,1.363116e+00,-3.743594e-01,-5.544649e-01,4.109645e-02,3.461981e-03,5.596633e-02,-5.018787e-02,-2.364430e-01,-1.575857e-01,-4.587967e-02,-1.649110e-01,-1.709607e-02,-1.119109e-02,-1.803233e-02,2.275669e-03,2.423210e-02,1.028087e-02,3.883412e-02,4.589341e-02,0,-1.086646e-03,0,0,0,0,0,0,0,0
9,0.090000,1.377077e-01,-3.268149e+01,-2.231463e+01,9.223943e+00,-2.128058e+01,-1.566737e+01,-1.270138e+01,1.060207e+01,1.518285e+01,-9.841175e+00,-2.595785e+00,-3.310127e+00,1.639584e+01,-6.284036e+00,3.893786e+00,3.301412e+00,-6.079358e+00,-4.353179e+00,-3.155989e+00,-4.251596e+00,-4.297532e+00,-3.265487e+00,-2.498276e+00,-7.871208e-01,3.887238e-01,5.244642e-01,8.387272e-01,1.226609e+00,1.422513e+00,1.612939e+00,1.823689e+00,2.593542e+00,0,1.908228e-01,3.109204e-02,-1.291978e+00,1.986321e+00,5.214076e-02,1.145658e+00,-6.763642e-01,4.620950e+00,8.844736e-01,-1.469230e+00,3.992615e-01,3.076394e-01,2.270504e+00,-8.142658e-01,9.304909e-01,1.334967e-01,-3.405662e+00,-7.224035e-03,-9.056826e-02,-1.108757e-01,2.398753e-02,-3.399127e-01,-2.933379e-01,-1.016995e-01,-3.682308e-01,-3.154989e-02,9.149611e-04,-3.996060e-02,-1.670933e-02,1.869798e-02,7.411540e-03,8.701479e-03,2.370825e-02,0,6.131462e-02,0,0,0,0,0,0,0,0
