frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,1.526880e-01,-3.595642e+01,-1.475313e+01,-1.440086e+00,-2.066295e+01,-1.605073e+01,-1.835582e+00,3.325335e+00,1.097321e+01,-9.894605e+00,4.115003e+00,-6.849564e+00,6.059878e+00,-8.360650e+00,2.950952e+00,-6.035544e+00,-6.269467e+00,-4.333311e+00,-3.247298e+00,-3.775480e+00,-4.502951e+00,-3.837605e+00,-3.270536e+00,-2.167244e+00,3.794889e-01,5.467312e-01,7.992449e-01,1.120446e+00,1.430853e+00,1.590422e+00,1.732777e+00,2.574559e+00,0,2.108283e-01,-2.090486e-02,5.952568e-02,-3.620115e-01,8.068035e-01,-1.159700e+00,3.730985e-01,1.520604e-01,9.390761e-01,-6.006556e-02,5.667686e-03,-1.121367e+00,-3.134833e-01,2.021150e-01,-1.314505e+00,-2.253115e+00,-5.884851e-01,1.116791e-02,3.025913e-03,4.096542e-02,7.617798e-02,-5.197611e-02,-7.712462e-02,-1.294732e-02,6.102135e-02,7.800171e-03,2.010632e-03,-1.254982e-02,-1.223240e-02,-1.035775e-02,-9.084940e-03,2.271537e-02,-2.230339e-02,0,1.035026e-01,0,0,0,0,0,0,0,0
1,0.010000,1.102700e-01,-3.576181e+01,-1.517601e+01,-7.959529e-02,-2.310799e+01,-1.457115e+01,-1.068338e+00,4.234355e+00,9.549109e+00,-1.007535e+01,3.109698e+00,-5.871687e+00,7.149258e+00,-1.029770e+01,-1.470157e+00,-6.227798e+00,-6.244044e+00,-4.294295e+00,-3.188340e+00,-3.535808e+00,-4.577118e+00,-4.005112e+00,-3.330888e+00,-2.064130e+00,4.021620e-01,5.568005e-01,7.860181e-01,1.104198e+00,1.413967e+00,1.571696e+00,1.819637e+00,2.604736e+00,0,4.156411e-01,-1.248148e-02,2.533863e-01,-6.106280e-01,1.043324e+00,-1.813242e+00,2.752323e-01,4.470521e-01,1.821640e+00,1.062158e+00,-5.884733e-01,-1.620586e+00,-5.642406e-01,-1.048975e-01,-2.089319e+00,-2.672961e+00,-1.032413e+00,9.820938e-03,2.499208e-02,1.181480e-01,1.429209e-01,-5.958362e-02,-6.434705e-02,-5.194711e-03,1.450095e-01,1.335773e-02,2.188134e-03,-1.548219e-02,-1.464136e-02,-7.334507e-03,-6.707370e-03,3.673532e-02,-3.732295e-02,0,8.236635e-02,0,0,0,0,0,0,0,0
2,0.020000,6.937263e-02,-3.575610e+01,-1.635175e+01,1.913686e+00,-2.523893e+01,-1.492502e+01,-1.458902e+00,7.566206e+00,1.138493e+01,-9.775893e+00,-9.891779e-01,-8.905919e+00,6.525763e+00,-1.396465e+01,-6.104070e+00,-8.881843e+00,-6.226339e+00,-4.337689e+00,-3.071951e+00,-3.514426e+00,-4.725748e+00,-4.139474e+00,-3.305097e+00,-1.913694e+00,4.071533e-01,5.517496e-01,7.431092e-01,1.067408e+00,1.387508e+00,1.554360e+00,1.802923e+00,2.447953e+00,0,6.259351e-01,5.610762e-03,4.390926e-01,-6.282924e-01,9.352100e-01,-1.373744e+00,2.812999e-01,4.071962e-01,2.136834e+00,2.289232e+00,-1.396412e+00,-1.282070e+00,-6.194502e-01,-2.818052e-01,-2.101402e+00,-2.277266e+00,-1.091664e+00,3.188119e-02,3.529148e-02,1.506954e-01,1.519248e-01,-2.366743e-02,1.541166e-02,5.660057e-03,1.989053e-01,1.077613e-02,1.737046e-03,-1.280112e-02,-7.868481e-03,-7.271767e-07,-1.101768e-03,2.040672e-02,-4.613619e-02,0,4.179315e-02,0,0,0,0,0,0,0,0
3,0.030000,1.319382e-01,-3.478965e+01,-1.700696e+01,2.099646e+00,-2.744117e+01,-1.523742e+01,2.113386e-01,1.031310e+01,1.607813e+01,-1.289633e+01,-1.435835e+00,-8.642590e+00,5.302448e+00,-1.600525e+01,-5.886340e+00,-9.774461e+00,-6.241926e+00,-4.206161e+00,-2.744232e+00,-3.191402e+00,-4.689470e+00,-4.008405e+00,-3.279229e+00,-1.568971e+00,4.324454e-01,5.551626e-01,7.499018e-01,1.073758e+00,1.415854e+00,1.574916e+00,1.881380e+00,2.451247e+00,0,4.151067e-01,2.157335e-02,6.356117e-01,-4.719250e-01,7.000168e-01,-3.787779e-01,7.693287e-01,3.964657e-02,1.464792e+00,2.442833e+00,-1.737528e+00,1.852899e-01,3.588695e-02,-1.842802e-01,-1.084468e+00,-9.391416e-01,-6.898559e-01,6.298999e-02,5.602307e-02,1.175840e-01,1.236828e-01,4.908819e-02,1.141000e-01,1.538477e-02,2.264810e-01,5.214995e-03,1.955354e-03,-9.214341e-04,5.068362e-03,8.374047e-03,7.340753e-03,7.532406e-03,-6.744194e-03,0,-6.176214e-02,0,0,0,0,0,0,0,0
4,0.040000,1.699077e-01,-3.424704e+01,-1.697911e+01,2.146343e+00,-2.536508e+01,-1.431110e+01,-4.394386e-01,1.097013e+01,1.915485e+01,-1.546618e+01,-2.257887e-02,-8.561364e+00,5.574257e+00,-1.601389e+01,-6.227285e+00,-9.720531e+00,-6.111120e+00,-4.200920e+00,-2.715875e+00,-3.188059e+00,-4.565112e+00,-3.758900e+00,-3.268065e+00,-1.420297e+00,4.182279e-01,5.562354e-01,7.532975e-01,1.096324e+00,1.429906e+00,1.583303e+00,1.803939e+00,2.420623e+00,0,4.200613e-01,1.882293e-02,8.186348e-01,-5.621544e-01,9.234186e-01,5.460340e-01,1.000498e+00,-1.249460e+00,5.767790e-01,1.209295e+00,-1.187823e+00,2.010101e+00,2.201054e+00,4.033736e-01,-5.099151e-01,-8.859637e-01,-3.765919e-01,8.038755e-02,1.362742e-01,3.386133e-02,7.181163e-02,1.016166e-01,2.015247e-01,5.762083e-02,2.309802e-01,-4.219976e-03,-1.608062e-03,8.341670e-03,1.914231e-02,7.766664e-03,5.769634e-03,1.659465e-03,2.006943e-02,0,-1.037675e-01,0,0,0,0,0,0,0,0
5,0.050000,1.678693e-01,-3.333828e+01,-1.722195e+01,3.304160e+00,-2.493881e+01,-1.103147e+01,-1.379837e+00,9.856355e+00,1.787831e+01,-1.591785e+01,3.552848e+00,-5.864530e+00,6.703609e+00,-1.469542e+01,-6.104258e+00,-9.257733e+00,-5.986703e+00,-4.082564e+00,-2.778458e+00,-3.080577e+00,-4.411995e+00,-3.624899e+00,-3.272480e+00,-1.178423e+00,4.226997e-01,5.643345e-01,7.763168e-01,1.115082e+00,1.434638e+00,1.593928e+00,1.856791e+00,2.584681e+00,0,2.097673e-01,-9.284645e-04,9.624405e-01,-1.092965e+00,1.742540e+00,8.873926e-01,1.458665e+00,-2.450146e+00,6.169835e-01,-5.111406e-01,6.889024e-01,2.801334e+00,3.195775e+00,1.582363e+00,-4.108324e-01,-8.191255e-01,-1.033698e+00,8.865156e-02,1.692815e-01,-4.661381e-02,-1.094565e-02,1.126256e-01,2.183072e-01,1.430907e-01,2.391197e-01,-1.330746e-02,-5.993730e-03,5.579269e-03,1.826245e-02,-4.344022e-03,-1.849639e-03,-1.502355e-02,-1.766992e-02,1.903875e+01,-5.567604e-02,0,0,0,0,1.903875e+01,0,0,1.710794e-02
6,0.060000,1.455218e-01,-3.238861e+01,-1.905503e+01,5.928522e+00,-2.375994e+01,-1.202550e+01,-6.910615e+00,1.067847e+01,1.653131e+01,-1.420425e+01,6.566984e+00,7.103197e-01,7.842050e+00,-1.716914e+01,-1.042493e+01,-1.102317e+01,-5.952013e+00,-3.718117e+00,-2.885531e+00,-3.210780e+00,-4.356402e+00,-3.323604e+00,-3.020367e+00,-9.540673e-01,3.909263e-01,5.391234e-01,7.716101e-01,1.142458e+00,1.416949e+00,1.573702e+00,1.823515e+00,2.481584e+00,0,2.097673e-01,-4.964984e-03,1.319037e+00,-9.197277e-01,1.728478e+00,7.143959e-01,1.647455e+00,-2.377833e+00,2.770405e-02,-1.642914e+00,1.935750e+00,2.953298e+00,3.131713e+00,1.352485e+00,-3.236310e-01,7.213154e-02,-1.322942e+00,1.641154e-01,2.546096e-01,5.390644e-05,2.207324e-02,1.892570e-01,2.239648e-01,2.028107e-01,2.253012e-01,-1.388284e-02,-6.683618e-03,7.256007e-03,1.746602e-02,-5.247653e-03,-6.948626e-03,7.817519e-03,-3.613212e-02,4.753641e+01,2.326535e-02,0,0,0,0,4.735500e+01,4.030364e-03,7.990759e-03,3.496502e-02
7,0.070000,1.394889e-01,-3.090666e+01,-2.143383e+01,8.921258e+00,-2.380678e+01,-9.086892e+00,-8.803802e+00,1.354385e+01,1.483420e+01,-1.008278e+01,9.276052e+00,2.700444e+00,1.208036e+01,-1.748178e+01,-7.883145e+00,-1.429163e+01,-5.878222e+00,-3.601156e+00,-2.892473e+00,-3.234770e+00,-4.230697e+00,-3.134517e+00,-2.687625e+00,-6.064873e-01,3.795589e-01,5.337499e-01,7.686419e-01,1.142004e+00,1.400612e+00,1.570468e+00,1.796474e+00,2.332417e+00,9.519376e+01,2.418735e-01,-7.585204e-03,1.773020e+00,8.595175e-01,4.284105e-02,6.735641e-01,1.438258e+00,-5.178033e-01,-3.225532e+00,-4.170724e+00,2.836522e+00,2.534217e+00,-2.827389e-02,-1.058940e+00,7.712444e-01,1.013327e+00,-5.871030e-01,4.377081e-01,3.888791e-01,1.435245e-01,2.257326e-01,4.361224e-01,1.633252e-01,2.123609e-01,9.899972e-02,-1.776631e-02,-7.593858e-03,8.729279e-03,-7.400310e-03,-1.689285e-02,-1.717314e-02,6.592750e-04,-3.957291e-02,7.596185e+01,1.502859e-01,9.519376e+01,0,0,8.553969e-02,7.556379e+01,1.041104e-02,1.369575e-02,5.199711e-02
8,0.080000,1.592730e-01,-2.886767e+01,-1.947181e+01,7.980185e+00,-2.235912e+01,-7.046114e+00,-8.616623e+00,9.264905e+00,1.246234e+01,-8.704963e+00,1.188231e+01,2.814713e+00,9.648307e+00,-1.623886e+01,-4.977184e+00,-1.381829e+01,-5.344783e+00,-3.168576e+00,-2.658598e+00,-3.000596e+00,-3.709476e+00,-2.884267e+00,-2.546439e+00,-5.797588e-01,3.703841e-01,5.381095e-01,7.934150e-01,1.170193e+00,1.420681e+00,1.560290e+00,1.873185e+00,2.366094e+00,1.900852e+02,5.203349e-01,1.837341e-03,2.322758e+00,3.674157e+00,-2.910370e+00,-3.502579e-02,5.757503e-01,2.627181e+00,-7.798415e+00,-7.308416e+00,2.972078e+00,2.196752e+00,-3.783892e+00,-5.044473e+00,2.352722e+00,1.574697e+00,7.403281e-01,7.570012e-01,6.084587e-01,3.847418e-01,5.886307e-01,8.067919e-01,8.189960e-02,1.728256e-01,-7.193927e-02,-1.332213e-02,-5.605823e-03,2.018592e-02,-3.491496e-02,-2.887824e-02,-7.470763e-03,4.437739e-02,4.384296e-02,7.579362e+01,1.849832e-01,1.891781e+02,2.015182e-02,3.995379e-02,1.320552e-01,7.528893e+01,1.342154e-02,1.641392e-02,4.222868e-02
9,0.090000,1.230676e-01,-2.623366e+01,-1.271597e+01,2.492534e+00,-2.227140e+01,-6.329877e+00,-3.115849e+00,-5.564519e+00,-9.408271e-01,-4.484880e+00,1.356627e+01,-7.058096e+00,5.057824e-01,-1.130434e+01,-3.761496e+00,-1.079569e+01,-4.101778e+00,-2.412938e+00,-2.174302e+00,-2.057006e+00,-2.554846e+00,-3.027941e+00,-2.447639e+00,-8.705789e-01,3.441392e-01,5.268721e-01,8.090608e-01,1.064213e+00,1.348308e+00,1.514769e+00,1.835253e+00,2.444561e+00,2.847667e+02,8.059130e-01,2.930053e-02,2.748486e+00,5.459804e+00,-5.459609e+00,-1.381949e+00,-1.620682e+00,4.808044e+00,-1.018870e+01,-1.011376e+01,1.963789e+00,1.973253e+00,-4.820334e+00,-7.630382e+00,1.808119e+00,3.302967e-01,1.571649e+00,9.061040e-01,8.301026e-01,6.121691e-01,9.669906e-01,1.082694e+00,5.391176e-02,1.874788e-01,-1.869957e-01,-1.163837e-02,-9.819013e-03,2.128850e-02,-6.309931e-02,-5.293605e-02,-3.886127e-03,3.687232e-02,6.960011e-02,4.718160e+01,1.573402e-01,2.832299e+02,4.197931e-02,4.850186e-02,1.939579e-01,4.701993e+01,7.881546e-03,6.086114e-03,7.693076e-03
